k_u,k_v,cosine
26,32,0.029751875968132523
300,920,0.07069654070928069
2,920,0.2060257583644612
30,920,0.22387187830628857
2,25,0.04778869589294203
11,25,0.09028633513079187
10,25,0.08370673168205459
2,25,0.11269496894216358
4,25,0.05741000966658811
12,21,0.035472518228325776
10,595,0.11956157082812983
6,64,0.2756438522736776
23,24,0.07331039406140286
9,13,0.05051940848026752
7,24,0.1997147150525721
6,25,0.022988494806202787
84,2711,0.009076522371464248
5,2711,0.03519156652374547
7,2711,0.03978677370561996
2,2711,0.0052281294618747665
11,17,0.15166743362597018
17,3040,0.2029497054379914
3,3,0.05544827283850803
40,65,0.23984178276090448
40,77,0.14068720631709072
20,37,0.010773998285704365
4,6,0.0708864194999641
4,9,0.25747389507409113
3,4,0.05482958271708914
12,17,0.1400639916165294
25,149,0.16457577811372362
2,4,0.058544494015580886
2,2,0.23078843808330504
2,2,0.05312653348055719
5,13,0.030220281480593046
2,13,0.009731016328784424
5,13,0.03519465405541509
2,2,0.0
4,167,0.12236215355118098
62,169,0.15778971596701075
9,12,0.14845763336338685
2,482,0.04994548693784937
3,7,0.04664427694357508
21,23,0.05204139625952955
2,7,0.14751344319531157
42,110,0.11352242915601388
27,110,0.11797392639382975
110,173,0.03908200944940168
5,26,0.10377999885122445
3,25,0.06600639556412538
4,11,0.331360336628462
7,53,0.07034056700982276
2,15,0.020456342988019488
8,67,0.13101931608550854
6,26,0.15773009541488403
26,132,0.259400931434679
4,12,0.03383022476249642
10,26,0.05305146530739114
4,26,0.09739753277342822
5,9,0.0453557909835199
6,12,0.029551092376289625
9,22,0.12132124371774806
4,7,0.049410303187148286
2,103,0.04138539345780714
7,26,0.034579502099458
6,11,0.08410620659458026
77,648,0.0017563853414879595
42,91,0.09880075444272907
6,19,0.1344773026793717
19,31,0.22436942431166998
3,8,0.020718534400280233
167,241,0.0974969684436021
167,409,0.08299413060744638
167,5022,0.06941777640301193
3,9,0.21421384862131976
2,7,0.05035091992725388
4,9,0.0751031116528054
2,53,0.08448487870151472
6,64,0.0673480941654116
6,21,0.08965421337275098
2,4,0.03713963780598196
7,28,0.102276400703574
6,10,0.11936188425703691
347,506,0.06085880333767407
2,12,0.0926490470800364
4,5,0.07366976066272468
3,7,0.07483590962512042
4,7,0.005782355701647646
19,20,0.08810808585223226
31,34,0.23441471606272396
34,86,0.2899229604315869
2,3,0.07133471988307133
2,96,0.010348890625986235
7,8,0.08420326339636384
8,57,0.12184214973143709
2,21,0.15022963483946744
43,44,0.21242257191950953
2,2,0.04319267390696061
14,21,0.19397006592573904
3,1185,0.03667177700579122
3,63,0.02838391648177542
2,3,0.09645851263367135
20,410,0.11596347490846684
19,113,0.17263322236651782
2,17,0.05047350951371899
4,17,0.06272197462553127
2,17,0.05080214116991641
30,142,0.028968784873940594
17,37,0.03666710177574643
5,27,0.12030332555790688
11,14,0.1337022262375681
8,11,0.15897367172746113
7,18,0.1657041206377381
2,11,0.0044948112215866904
2,3,0.03290904100319215
18,7954,0.24890896429930004
2,18,0.03228055583812245
2,2,0.14153131853985274
2,114,0.04310382474037831
3,4,0.29003347704350935
2,41,0.06213380326609259
18,69,0.08399571602487933
40,69,0.1033584482897723
3,69,0.10608163872195789
6,8,0.10061388593345275
5,226,0.0334763094801624
16,5130,0.1777548011921523
15,16,0.23863359137956952
4,31,0.14233802217851022
14,56,0.12738388098901454
4,17,0.16009173802850107
24,88,0.09534768487098794
7,124,0.01694946937856611
2,9,0.11885714248744991
11,11,0.06850237935653943
3,8,0.07240522776463298
3,31,0.06954279734147889
2,5,0.1790815834949389
3,4,0.1239551783111133
19,356,0.0
14,702,0.2830990901336651
102,702,0.11181973959786848
289,702,0.1176722759648218
2,356,0.01722484155417725
6,356,0.0019946658528807045
23,67,0.11157809366512551
8,29,0.10657851602132837
11,16,0.2742694558137947
2,43,0.1111415663159285
3,9,0.04342569731857486
16,24,0.14741062143301004
12,518,0.02760079549142075
26,34,0.11851471169826694
7,26,0.06647961271193016
46,73,0.1555248355251443
8,73,0.1345351552562816
45,73,0.269688881503189
22,73,0.22026154963439462
5,65,0.0844290388255485
2,10,0.004717254765823473
37,119,0.06971938712459172
14,2040,0.029084579896421804
5,11,0.07875958700432606
19,118,0.15522206257462023
10,118,0.27249146208012753
3,4,0.03189076797311884
4,75,0.04945533215864351
6,8,0.08707843941605581
16,31,0.08382752615829804
5,12,0.07346109350608446
30,31,0.177654803419457
25,133,0.19510020170811238
9,12,0.21853135798082957
2,5,0.15729402683743102
13,43,0.15208609815659607
68,667,0.011542369048681068
18,68,0.1264864959188754
2,329,0.06647193684363785
16,329,0.07914888673266843
125,329,0.185436860532834
55,138,0.050863557935919027
6,8,0.110019291912444
19,128,0.18148958233504509
5,26,0.015330088271746516
12,20,0.07528100907313773
20,142,0.1299265682546713
16,90,0.05089809045011787
5,12,0.08772636799636088
9,12,0.08281478925551357
2,3,0.01938862270642314
4,8,0.053693247393252055
4,23,0.18879887736170337
2,175159,0.1029108195384572
2,21,0.018998628042724647
2,54,0.005219164182105371
4,7,0.08739493680888721
2,9,0.061067151950791966
18,38,0.18214631052984886
2,2,0.25735327501439
73,143,0.12670857764354498
43,143,0.1392770936588711
3,25,0.04631640783626963
3,9,0.029135961994656127
2,3,0.028446900811116532
8,1569,0.08479229376813592
6,32,0.05564174222333648
9,770,0.1538096841000945
9,20,0.1443034965976056
3,3,0.007490324787738608
11,983,0.07226045341644455
11,14,0.026587375990864314
4,7,0.17210590039202078
2,13,0.028967179715453734
4,14,0.042012430896577115
17,192,0.07420101825511957
13,29,0.09883157837571954
23,140,0.1704317868816536
25,37,0.10095418365951966
4,15,0.07120236275029529
2,104,0.09898778701668215
2,3,0.008777619456728253
11,31,0.14145290021384305
31,114,0.18073876450338214
7,31,0.12611453518034277
3,22,0.06017343191750935
2,5,0.24494549231028767
26,79,0.15593178735958282
34,101,0.2752113868219301
3,43,0.041006051296933396
4,4,0.008659231751923721
23,23,0.06220573389985401
23,23,0.0338692605461524
3,51,0.10454087517092522
15,127,0.05130014469583369
5,8,0.09079324335700525
12,13,0.018190279749306967
3,5,0.23677465263099273
6,814,0.026445363460608648
11,814,0.13791750537116937
2,4,0.04067578528885691
3,34,0.0785498975233715
3,29,0.198954431166806
2,16,0.1647210347876114
2,4,0.2523504123052645
11,15,0.2174117671620356
2,3,0.16629573531769642
11,13,0.08077865363794895
13,1435,0.14437315173033038
15,20,0.12189172816331477
20,347,0.169623789857259
3,7,0.17444773408808936
5,34,0.06930902234006266
3,36,0.039731977651171285
3,8,0.05350955680332792
18,177,0.13773027824173184
3,17,0.0042009834206463955
21,43,0.05122592421775187
15,125,0.14024227200546052
9,10,0.16710553687819066
3,54,0.18943804266786912
2,15,0.07592477865469965
6,11,0.018931916822238708
3,11,0.005952393344118689
2,11,0.00921212614383578
3,5,0.11230295581943837
21,26,0.18911706656379923
2,5,0.028129866207975845
3,6,0.08036570272979587
4,10,0.06656784446410001
6,8,0.06807735485260548
10,19,0.1720890069082774
17,19,0.1481863515139316
82,110,0.1886531727617474
37,817,0.13102419419861536
12,13,0.2308078904875996
203,266,0.20215634018165718
203,693,0.1750391847652445
20,1877,0.0349994428268296
3,20,0.018711514250556713
37,8431,0.10118101356338875
18,37,0.19913399280350214
7,13,0.15329217621401897
5,42,0.1887720361124623
9,68,0.08263882207562176
16,32,0.12121308968097919
15,30,0.1502355981733978
9,24,0.04378564973160152
2,4,0.05581415195840203
21,35,0.2344364665807886
2,35,0.17484996171893363
3,18,0.015608788266540434
2,5,0.03234508679231108
5,1706,0.03608603664008099
67,1706,0.04763761015483024
3,11,0.03892721947331636
11,511,0.14700632754798812
7,12,0.05510853410014592
9,11,0.19952060398652505
2,21,0.04989249372001356
4,77,0.0113140276047058
12,557,0.011684527146233048
16,21,0.10297328411140243
13,16,0.11968533370085177
7,26,0.09362522819651758
2,10,0.02914765234147453
6,23,0.17248391322948464
13,20,0.23965628333356523
4,8,0.04251911693887698
12,31,0.20866207608530013
2,5,0.021897679755019994
10,2461,0.22534102059643846
10,4920,0.16028923315426855
3,5,0.1117627847398058
3,32,0.11903900370949938
29,56,0.07966664962849496
8,34,0.012303182748698061
2,23,0.009610012085384853
3,4,0.008437487524675439
16,175,0.0546820931366975
2,182,0.008299496336387517
6,59,0.10021034918173
10,43,0.06370430618988042
18,31,0.07236615948213129
5,18,0.060488510185903545
2,474,0.03381552402113458
5,40,0.16395123941317064
2,4,0.08572296344426383
19,138,0.007077462163970712
138,202,0.023600752696023217
3,4,0.23281557640274977
61,71,0.036912585306313035
12,61,0.16354750124015083
3,3,0.06241571731780562
2,895,0.10372915889695092
34,53,0.0
5,21,0.02387291179899737
58,170,0.19719774320415345
19,170,0.12244354802976233
4,72,0.1558499197009824
47,342,0.08982523114949356
221,342,0.13174340563096995
4,5,0.1394259580354143
4,7,0.12611349489466367
2,9,0.10283794248546209
2,10,0.08732275732362135
6,27,0.03225332740643928
5,20,0.0782245724381857
2,138,0.03747845587735219
138,215,0.1172968229029632
88,138,0.08016347160633136
7,9,0.11948678154024225
12,817,0.07794371243070394
3,31,0.05842021171751004
5,9,0.0766173847310253
3,167,0.023274135756267928
7,27,0.1733357201445494
2,4,0.05506737050591592
5,604,0.07657894991155498
2,604,0.14306147852186202
12,26,0.037737177289212116
8,12,0.06930990700660253
55,88,0.05213742962296834
31,55,0.13052933366665762
2,21,0.013276846162707743
2,17,0.06653649441153314
6,29,0.12121055591812005
19,123,0.06267236137859122
9,47,0.25674910443269483
10,47,0.2317257723053725
69,176,0.04047163935045869
3,6,0.005462145392458746
14,443,0.07795949012614482
8,9,0.33837416030631606
26,1226,0.0422664770736127
3,3,0.04970780036794542
3,20,0.12822117793010657
5,25,0.025671484829932686
7,9,0.15477350088347613
9,30,0.16308659369633444
