s_raw,n_obs,mean_cosine
1,22791,0.05280692082773429
2,22498,0.05795626694832657
3,23645,0.06272002234529264
4,23993,0.06535563264398794
5,24173,0.06764525002625181
6,24180,0.06889288484199807
7,24221,0.07104079720411549
8,3667,0.07243349072986267
9,2747,0.07433150488211672
10,2193,0.0737330370008536
11,1659,0.07312538439619026
12,1367,0.0736391267803346
13,1125,0.07677985022895126
14,996,0.07781713991218665
15,839,0.07572609567683433
16,682,0.07780051716452493
17,604,0.06835420916196913
18,593,0.06782756843655695
19,455,0.0723292862413008
20,458,0.075945857698957
21,403,0.07194893570440741
22,340,0.0700544446154725
23,307,0.07426971870494987
24,267,0.07314787609863727
25,247,0.07130501336391888
26,229,0.0718047555321427
27,244,0.06873018388187475
28,205,0.068318453797418
29,208,0.0727024647881513
30,173,0.06982811525155566
31,156,0.073792465309523
32,161,0.05689874909892745
33,163,0.07527927673972086
34,136,0.06771968360935877
35,147,0.08656646208099308
36,136,0.05696087733447813
37,106,0.0783795882555647
38,103,0.07429663190294444
39,108,0.0781711991368004
40,99,0.07169852345662049
41,84,0.0835883840177127
42,86,0.07558586350897777
43,85,0.07374849613325388
44,70,0.06823639400608218
45,65,0.07064192959164163
46,61,0.048226975314435046
47,69,0.043750741544189835
48,64,0.03665752274862228
49,63,0.06810328986906646
50,54,0.06807001383481254
51,53,0.08999040042470062
52,65,0.08505952488621574
53,53,0.09927001695207269
54,42,0.028217556622787916
55,47,0.12295417039516761
56,44,0.12295417039516761
57,36,0.08174945793208388
58,36,0.12295417039516761
59,48,0.12295417039516761
60,39,0.12295417039516761
61,38,
62,41,0.12295417039516761
63,40,0.06823639400608218
64,40,0.12295417039516761
65,36,0.12295417039516761
66,31,0.12295417039516761
67,36,
68,24,
69,36,0.12295417039516761
70,38,0.12295417039516761
71,28,0.12295417039516761
72,32,0.12295417039516761
73,28,0.12295417039516761
74,28,
75,28,
76,27,
77,27,0.12295417039516761
78,22,
79,22,0.12295417039516761
80,29,
81,22,
82,22,
83,17,
84,18,0.12295417039516761
85,17,
86,21,
87,20,0.12295417039516761
88,13,
89,21,0.12295417039516761
90,19,0.12295417039516761
91,11,
92,10,
93,10,
94,16,
95,12,
96,11,0.12295417039516761
97,14,
98,13,
99,16,
100,5,
101,13,
102,9,
103,11,
104,15,0.12295417039516761
105,17,
106,11,
107,11,
108,11,
109,7,
110,11,
111,14,
112,10,
113,9,
114,8,
115,15,
116,6,
117,8,
118,7,
119,12,
120,6,
121,12,
122,14,
123,6,
124,9,
125,10,
126,9,
127,5,
128,4,
129,11,0.12295417039516761
130,8,
131,3,
132,8,
133,9,
134,6,
135,7,
136,9,
137,5,
138,11,
139,6,
140,7,
141,2,
142,7,
143,10,
144,9,
145,7,
146,3,
147,6,
148,4,
149,8,
150,2,
151,3,
152,3,
153,8,
154,3,
155,4,
156,5,
157,10,
158,3,
159,5,
160,4,
161,9,
162,1,
163,4,
164,3,
165,3,
166,5,
167,4,
168,8,
169,3,
170,6,
171,4,
172,3,
173,5,
174,5,
175,9,
176,5,
177,5,
178,1,
179,3,
180,4,
181,4,
182,2,
183,4,
184,4,
185,8,
186,2,
187,4,
188,3,
189,3,
190,3,
191,4,
192,2,
193,5,
194,2,
195,2,
196,5,
197,2,
198,4,
199,3,
200,3,
201,1,
202,4,
203,5,
204,7,
205,2,
206,1,
207,3,
209,4,
210,4,
211,6,
212,3,
213,3,
214,1,
215,5,
216,4,
217,3,
218,9,
219,2,
220,2,
221,1,
222,1,
225,3,
226,6,
227,2,
228,2,
229,3,
230,1,
231,2,
232,4,
233,1,
234,5,
236,2,
237,6,
238,4,
239,4,
240,2,
241,3,
242,2,
243,1,
244,3,
245,2,
246,2,
247,2,
248,2,
249,2,
250,2,
251,1,
252,2,
253,5,
254,1,
255,1,
256,2,
257,1,
258,2,
259,5,
260,4,
261,1,
262,2,
263,3,
264,2,
265,1,
266,2,
267,4,
268,1,
269,1,
270,1,
271,1,
273,3,
275,1,
276,3,
277,3,
278,5,
280,1,
281,2,
283,3,
285,4,
286,1,
287,3,
288,5,
289,2,
290,1,
291,2,
292,1,
293,2,
294,1,
297,1,
299,3,
300,1,
301,2,
302,3,
303,2,
304,1,
307,2,
308,1,
309,2,
310,3,
311,1,
312,1,
313,1,
314,3,
315,2,
316,1,
317,2,
318,2,
320,2,
321,4,
322,1,
323,2,
324,1,
325,2,
326,2,
327,2,
328,2,
330,1,
331,3,
332,2,
333,4,
334,1,
337,4,
338,2,
339,2,
340,1,
341,2,
343,2,
344,1,
345,3,
346,1,
347,1,
348,1,
350,1,
352,2,
353,1,
357,1,
358,1,
359,1,
360,1,
361,1,
363,1,
364,2,
365,2,
366,2,
368,1,
369,2,
370,1,
372,2,
373,2,
376,2,
378,1,
380,2,
381,1,
382,3,
385,1,
386,1,
387,2,
389,1,
391,1,
392,2,
393,3,
394,1,
397,2,
399,1,
401,3,
403,2,
404,1,
405,1,
406,2,
408,1,
411,1,
415,1,
416,2,
418,3,
419,1,
426,1,
427,3,
428,3,
430,1,
432,1,
433,1,
435,1,
436,2,
441,4,
446,2,
447,1,
448,1,
452,2,
453,1,
459,1,
460,2,
462,2,
469,1,
470,1,
473,1,
477,1,
478,2,
479,1,
480,1,
483,3,
484,1,
487,1,
495,1,
500,2,
501,1,
504,1,
510,1,
512,2,
517,1,
520,1,
521,1,
522,1,
528,1,
534,1,
536,1,
537,1,
539,3,
541,1,
543,1,
551,1,
559,2,
563,1,
565,1,
572,1,
573,1,
574,1,
583,1,
586,1,
589,1,
594,1,
596,1,
598,1,
600,1,
602,1,
606,2,
610,1,
611,1,
616,1,
628,1,
641,1,
644,1,
645,2,
646,1,
653,1,
659,1,
664,1,
684,1,
691,1,
701,1,
705,1,
706,1,
707,2,
715,1,
720,1,
728,1,
743,1,
752,1,
756,1,
762,1,
770,1,
772,1,
779,1,
786,1,
788,1,
802,1,
807,1,
814,1,
816,1,
817,1,
819,1,
826,1,
833,1,
838,1,
839,1,
848,1,
849,1,
853,1,
857,1,
863,1,
864,1,
871,1,
875,1,
876,1,
883,1,
918,1,
940,2,
943,2,
973,1,
980,1,
982,1,
990,1,
998,1,
1002,2,
1038,1,
1046,1,
1048,1,
1056,1,
1059,1,
1063,1,
1084,1,
1090,1,
1091,1,
1103,1,
1123,1,
1148,1,
1195,1,
1230,1,
1252,1,
1255,1,
1260,1,
1273,1,
1311,1,
1324,1,
1328,1,
1331,1,
1343,1,
1361,1,
1392,1,
1442,1,
1516,1,
1549,1,
1568,1,
1577,1,
1589,1,
1604,1,
1671,1,
1826,1,
1830,1,
1845,1,
1848,1,
1865,1,
1923,1,
1937,1,
1949,1,
2042,1,
2080,1,
2110,1,
2140,1,
2147,1,
2262,1,
2319,1,
2327,1,
2435,1,
2490,1,
2695,1,
3079,1,
3313,1,
3330,1,
3358,1,
3394,1,
3584,1,
3765,1,
3807,1,
3915,1,
4021,1,
4176,1,
4182,1,
4350,1,
4387,1,
4558,1,
5397,1,
8451,1,
9028,1,
11528,1,
