s_eff_regime,network_distance,n,mean_cosine,ci_low,ci_high,ci_width
0,1,12,0.077503242291473,0.0279321401653413,0.1482374576994206,0.1203053175340792
0,2,2805,0.0509729869346002,0.048420444308984,0.053994854327368,0.005574410018384
0,3,14577,0.0276832272082253,0.0267868867126415,0.0285012344970116,0.0017143477843701
0,4,4969,0.0144775815242572,0.0136564570729476,0.0153295185775329,0.0016730615045852
1,1,35565,0.1411476945932443,0.1393362724548755,0.1427798914474728,0.0034436189925972
1,2,51727,0.1178639451453344,0.1161821548850381,0.1195551654019742,0.0033730105169361
1,3,8417,0.0804352705763085,0.0770652589839395,0.0838481806559526,0.0067829216720131
1,4,3236,0.0715765662945077,0.0665845742918879,0.0763624526956293,0.0097778784037414
2,1,43436,0.1667584318297449,0.1638265388534794,0.1692334747862066,0.0054069359327271
2,2,39645,0.1471557273046006,0.1441127344614233,0.1499789229189736,0.0058661884575503
2,3,4984,0.1082452340339386,0.0986344802525936,0.1168647982362255,0.0182303179836318
2,4,3141,0.0895594356013533,0.083219628213984,0.1058991375283314,0.0226795093143473
