user_a,user_b,shared_packs,cosine
did:plc:24q2z5aqljukjks224pqwimh,did:plc:dwt2ntmuye3zb3w3ie3b5zgu,1,0.027074820055665232
did:plc:25owydbzlcyazokzxatcnhet,did:plc:34pzugx5otofkhx2sct7ogs6,1,0.010389812061038105
did:plc:25wolt6qyqvryp6dg3fkzyeq,did:plc:pdfic74mrhghjhir3qshiemb,1,0.02289940248061768
did:plc:263kofxdje7g5e7evbta2mju,did:plc:5nmslqaz6e6deo7rud3cgncw,1,0.13371928812206924
did:plc:2ai25ea53jfahixlhwsh347u,did:plc:3qpjxt7lez7zvigx4cwxmrry,1,0.01574085041750206
did:plc:2amfb6qpbabshk6zqd65zjpy,did:plc:stazwvwhqtuz2bph27pelcih,1,0.09204638161468073
did:plc:2bhjrzvaxjlfchibekeclfzb,did:plc:d3ogxao4nuciofuy7t2trlpu,1,0.03821068496779474
did:plc:2burqyeoixihp6d6i3yh74je,did:plc:vmxmrebiewobkrqdme4lwf5r,1,0.11949951750008372
did:plc:2chzmn6u5xmduk36ragq26ev,did:plc:fvdvxh6xec5cq3oeda7njqbx,1,0.06367372183626865
did:plc:2dodjjonkktlkawwsdr7aq3p,did:plc:5pkvkchvy5r5lpt6dzvnxm4w,1,0.0
did:plc:2eggxzjikdgsfhdfejrgxij3,did:plc:sj72wes2xop5ajt7xlt2hnja,1,0.18758366918188937
did:plc:2ff62fqkq27bdxswi6ez44dq,did:plc:keompcicensa7aig3isdr36f,1,0.09664472085390374
did:plc:2flxuayvffkbjjnptjtm5txp,did:plc:uxt6essojjazlczdixbaghkv,1,0.09813079084091575
did:plc:2fvckngq34kivqe5hz5vliin,did:plc:pngw6wwsbntrlglizg2frxqb,1,0.1110637648491717
did:plc:2gbhmvinasyhzywdnic4jsi3,did:plc:k276evh44gwsbdybxgtdothh,1,0.2163907799572805
did:plc:2grdffhvz5anwlbayxofcdf5,did:plc:lqtlrxrp42i6qh3vh3lsmybu,1,0.3321774695020349
did:plc:2hbj625jol5pfwsjv357ndsl,did:plc:ulyl36hnp2zficpv4htokym4,1,0.3082588890236594
did:plc:2j7wrfm7krlxelicwnjq3kkz,did:plc:z4nfma65tmm6sk7pihjuvh7e,1,0.056945398749596844
did:plc:2ks6ssaqjuwq6px6ezl4mxv7,did:plc:ks3gpa6ftoyaq7hmf6c4qx4c,1,0.06729999775497753
did:plc:2mkgbhbhqvappkkorf2bzyrp,did:plc:6rg7rs32na2uwaip5ovirput,1,0.07923401883764426
did:plc:2nkqqpybqsg72fyt5ke3akii,did:plc:6p4l3pavdr7jpwvs6fgnkmvw,1,0.03706157628036999
did:plc:2nlzeogz3ghykjixm44qxllm,did:plc:itcqruu6tvm4sjbzffscuao6,1,0.17363261726600382
did:plc:2p2wdhc6iasabvpmdbwjudvd,did:plc:ml7kkvx3qqcbum7mt6fpzbi5,1,0.011854554714975976
did:plc:2qjjjezv6txtgck7lhk4vqud,did:plc:kte2b5rnieexjvpzfoyxiakx,1,0.011391674901204974
did:plc:2qoxucumwitjpaykfqbfui3y,did:plc:r5u56sxaoy6pizvfff5lxeup,1,0.0032621544371239496
did:plc:2r37m4k5qkffs66q6tov3h6g,did:plc:w4hvws2rwgc3jknddqy6rwyw,1,0.06852279448961592
did:plc:2rgxkeab2duf2osoxqkwow24,did:plc:kupekvlqj42gr3mbl4lxfoyt,1,0.11254154522855389
did:plc:2v6leryb3aezzfpn32u3scgc,did:plc:hkloe75gxxujrfk5cljlehw7,1,0.05496719362423782
did:plc:2vd777pjwtu3or65wsd5ftwk,did:plc:vuwtirvquzwgytl2hxhrabvn,1,0.1994423916393655
did:plc:2vxti5td3tdwrqidmbbhj3wn,did:plc:dkh643asru53huyrgpjmobgl,1,0.13499093512851323
did:plc:2ymdr6f67jr2h4eo6mkqowhk,did:plc:kps6stux4oefxl2cn3mkiaf3,1,0.03780371091658968
did:plc:34zq5wv6vsxllbe2sg5hqibk,did:plc:m6fis425tamdyzevdgosthor,1,0.04330494336784231
did:plc:35mtfidkpaxztvnz6awf22hw,did:plc:dk4vikuwlud5rasjyjzpfawl,1,0.19052928635870353
did:plc:35r2ahxhs27fdqh7zehghz5j,did:plc:rsbvec3bin354nt2sgqygy4s,1,0.03147365432572745
did:plc:3a53is6yo2bgsq5pkernsltb,did:plc:3denye4t7nw7mlprsmtfcpik,1,0.40021448750116706
did:plc:3cc7dtvwe44lqqbk375nbmhx,did:plc:hjsepnmz3yzjx4rxrnkmq5cw,1,0.05265501816863536
did:plc:3en4tirveirvavzh3reb2pgc,did:plc:kxjfl3lnhxjf7tg5e2utujnj,1,0.1369627019337586
did:plc:3gf7ggjpetglwwmlyyeb7iqc,did:plc:k5oldnfoimbfpeg74gqbgnm5,1,0.12912165504850326
did:plc:3ggacfuuduqtt35syoevv3yd,did:plc:5ypou23oqgwtxumdts3klocb,1,0.09977351941294511
did:plc:3h743hjra22ar6dkzohsrzah,did:plc:pwvculplzdrnxxj5alraubux,1,0.01751538260346796
did:plc:3hayitq2cclufzmpsgwnw5an,did:plc:snudhtqaa2g4yaktu2yxtbfz,1,0.0904242123953176
did:plc:3hd67og56zzdsqhqf2yqs2v7,did:plc:svemxcj6xhehsm3ht5pmckg2,1,0.04437903299630616
did:plc:3is73gqb7bx3zcqaxcb47y4r,did:plc:vqh4ycovjp6xqpzjhi3ydscy,1,0.054754364717302065
did:plc:3jlgii2x3e6ccjzo3c5gbsow,did:plc:xfebqixzzbvolywma5rhuqgs,1,0.2694499421018964
did:plc:3kapv2cmc5r6ehswf6nwo5wt,did:plc:p7abckahifxmb46ljgom2ejy,1,0.159351984723836
did:plc:3lunpc6dajspsvmrmkkjmqz3,did:plc:ux5c6hm4wbjqhki42fdp3u7k,1,0.03849815069265122
did:plc:3m2kspgf4l5vomio76ihjjlk,did:plc:7avnj46gd4vk7s55mlzimgee,1,0.30647939669364604
did:plc:3m33s5ug7vteq2w62zli2jem,did:plc:fjrt2qdphbkghlnpzc47sh7e,1,0.050322462732504375
did:plc:3muhtgdy5kkwg7uvzav2aadn,did:plc:mslids6sjrrezje4m3frwoxy,1,0.04909702337203365
did:plc:3ndls44ookped7wtrvt2qozy,did:plc:pkumctvnn66vojvcb277hm4b,1,0.2937580024741521
did:plc:3odh6s52rkj2p5e44sgcn3o4,did:plc:xjzadoegrlckius6lzonfuqa,1,0.208535873857059
did:plc:3pu2kbbv74xnjijmdqg2hcqg,did:plc:hvcpvjqexxderbxfccof73t2,1,0.6438493109842975
did:plc:3qqymznj6yam4crbsgjfbxo7,did:plc:pp66gvuh6w7tnshtvjxll72e,1,0.03319903177076362
did:plc:3rpvaufqlvqfhfborljlbcf6,did:plc:sunbuvp43kadg5tsligc5tqf,1,0.060721516845940876
did:plc:3s7isqkfw5jhmw2rox3up2nk,did:plc:ucsczw3tfhyxahfcc6wzl44x,1,0.27794643933831825
did:plc:3sdbof6be3apln2u62iu6ljn,did:plc:wgiaarrlbzgt5qg75npre43v,1,0.040073107054055576
did:plc:3siox3kiqgw63wuh6k32kymn,did:plc:vc7ycyy4rolix7hqulgdhmyp,1,0.029053649426038546
did:plc:3szb3bgbqosnhvz7nl7xaase,did:plc:sof7btditsaeror5ajthper6,1,0.008214596440671998
did:plc:3tdot7riel7lwyyvlyds4l5a,did:plc:p2xkho6dhokpvx5yr67wwwnj,1,0.2871607826601097
did:plc:3tqpjakb2ds2dvnj3mi5sksq,did:plc:7khknah6v2jrg6yukjvx4law,1,0.0
did:plc:3whflcdp2i7svugsrzeeatnv,did:plc:r7t4jtdzfol337cxyikpb7ef,1,0.24954603237232914
did:plc:3xh6m4ups3mhlvtxttv5mfbo,did:plc:kydhrk444koasjtzeyx5356q,1,0.20246715544342894
did:plc:3xovvgvtloxyoal3z7vv5xit,did:plc:vz35eklbsdwmln3myunfrmzm,1,0.04116042959321237
did:plc:3zip7y2wfq6zcpezjabqvkno,did:plc:6jab4zm74exzxa5suoag6jx4,1,0.03091918799198932
did:plc:3zk6bj2juah6gmu7s6t5vkqr,did:plc:73gh4u4kdxy6hw6y6csdzl2i,1,0.08211246838994193
did:plc:4lx6nur5wstwoc4wtgj56kyu,did:plc:dd7urektfzv3vb4tzga4tutu,1,0.2001015110374791
