did,out_degree,in_degree,total_degree
did:plc:z72i7hdynmk6r22z27h6tvur,3,1226381,1226384
did:plc:eh3fen366rkkf7mziyjm35d6,333706,54696,388402
did:plc:4izbafo5wmsu6k5uuxetbftc,334574,49355,383929
did:plc:p7gxyfr5vii5ntpwo7f6dhe2,562,366127,366689
did:plc:ujrt55wdbwu2452gx7oqj3p5,286488,39287,325775
did:plc:xyddpg6usmgh2t2jgf4e37yk,2031,275937,277968
did:plc:iv77vo62rn5s7ery4crfwrno,229928,43539,273467
did:plc:y4zs4cabaezzwx3bz2e5nnj2,410,271602,272012
did:plc:n5zwc7jiuduea7sousvlccne,250521,19049,269570
did:plc:ym6utcg5efcdumemg6ode7l2,203678,54310,257988
did:plc:gwlrj2a6zbx5nuigsxjvwc2q,209202,45601,254803
did:plc:zi2vfacnadfc6fptfvusxdjx,203995,41222,245217
did:plc:a4pqq234yw7fqbddawjo7y35,3,244451,244454
did:plc:4zr4utuvivgal2to5zsbtnwh,188354,54768,243122
did:plc:ydfllvlbuxrac2xidiqr4h4n,206636,33471,240107
did:plc:dkavlwr7rwar2rwnxvig7wjy,192958,42301,235259
did:plc:okw555inskl2b7sxkhgkvu4n,191616,40073,231689
did:plc:riazbpnrr7bteoycuhc3twde,194194,35074,229268
did:plc:7nguzszlvpdpdmtc47zp22ur,160127,67826,227953
did:plc:y5xyloyy7s4a2bwfeimj7r3b,892,222670,223562
did:plc:h7obn4tkp47wn7gqh4oe5eij,3,218833,218836
did:plc:kthwu6mpwb56qwdm2ipaxciw,162676,53992,216668
did:plc:qc6u2yw32dpa6cwly7bcuhn3,191857,18870,210727
did:plc:ptqmgzl2reasveynt5ca2kn5,160247,49636,209883
did:plc:omyr27fmzj3phbagch4sqyub,172985,34428,207413
did:plc:vmzsmv4bcgyybehzitr5s4kg,142739,61767,204506
did:plc:ln72v57ivz2g46uqf4xxqiuh,231,203055,203286
did:plc:hepmgagh4cverv4dmpb5wgd4,177340,24931,202271
did:plc:4llrhdclvdlmmynkwsmg5tdc,1858,199161,201019
did:plc:5vwvmjkt6ytdv4a33iz4aidm,157083,41978,199061
did:plc:yitwlwggsdkkbhjx3rbykiv4,155182,43575,198757
did:plc:eclio37ymobqex2ncko63h4r,79,198337,198416
did:plc:h2xekkptbr6hpnnyl52snjhu,177367,16873,194240
did:plc:xjc7mkotpenvhh6ffewkdpyn,759,193108,193867
did:plc:6jpzsftqzh6swvzi377pwku7,183290,6781,190071
did:plc:dgddajknd46fgmydy6xxrgap,159524,28747,188271
did:plc:bono5gae7m6r3qpfxomshwbd,1488,185147,186635
did:plc:4m7eedmh3sjvxxvrh2eikgux,120287,61652,181939
did:plc:f3722uukwuzlpdo5jovmp4kk,148968,32087,181055
did:plc:oky5czdrnfjpqslsw2a5iclo,2788,175943,178731
did:plc:4u3hwe3p7oy3hoy3amlw7rp2,1574,176181,177755
did:plc:nvfposmpmhegtyvhbs75s3pw,742,176630,177372
did:plc:qi266okqzvfhayoetduiypqx,149111,27744,176855
did:plc:oqr5mp25r7z3vfr3igeerxbw,1032,175641,176673
did:plc:x4g4laxkmsrczwvnvbbgsm7g,6672,169165,175837
did:plc:kptddmrndbfzof3yzmhdg3fq,100283,73464,173747
did:plc:vocg5apjrlm7dfptvy6qbrfy,304,173398,173702
did:plc:wjatbj4hiinxfqaeixaw2bcp,82163,90954,173117
did:plc:atnbskbs2ceelndcdyst5plm,121417,51606,173023
did:plc:l7agljlznyxpzzm42tccwgfp,114705,58090,172795
did:plc:pjiafkey2cokiupsxpswqlk7,279,171730,172009
did:plc:2xmyvvah336otkoum3awqxgp,141880,29604,171484
did:plc:nzsd3ckkcueviu4o5s2tbfdw,85189,86075,171264
did:plc:xgiwtxbtt6xc7low5vdz7dq4,1106,168867,169973
did:plc:xm72xzatody3bgwebknbdkj6,110509,58969,169478
did:plc:lojkcv5bwfrpgpydgdio3gz3,147059,21215,168274
did:plc:4v63kzy22zu4rvxurulpfxog,139698,28486,168184
did:plc:udkfluc22k3gjssmajh4zciq,127642,39983,167625
did:plc:4lx6nur5wstwoc4wtgj56kyu,1613,165997,167610
did:plc:53rcyfn7qdyq3p2psxsreob4,133627,33582,167209
did:plc:a5e7a2qbbnugyoonxc5vi3g2,142268,24750,167018
did:plc:5dx6zn36g6bz2nb3r6qrhid6,98323,68195,166518
did:plc:c3at2vzpmyodlsdksad5sqna,109470,56490,165960
did:plc:az4c77yg7l4empfuxksv3edo,118212,47633,165845
did:plc:k37doww73sifyzwojhfff25w,132580,32420,165000
did:plc:t6ubj2wlhc34awzcymh3qpur,411,164254,164665
did:plc:3i4ezbrmg4mxm5l4eaijajq2,82387,82160,164547
did:plc:z4btti5mopfxgfbxe2ewgms7,127379,36270,163649
did:plc:wpj5z24vsmik5ocqjybwjpso,6105,157331,163436
did:plc:t4q27bc5gswob4zskgcqi4b6,81755,81400,163155
did:plc:e62gb2ushvtvjvqcbrxeaw2n,498,161972,162470
did:plc:mupjvqe2vuefnr77em5jjl4f,81192,79789,160981
did:plc:rkgohaobvcnymdssjz7zewja,93054,66911,159965
did:plc:k4jt6heuiamymgi46yeuxtpt,289,159452,159741
did:plc:tbsjrhkjvgqnrc5jixlhps7q,142295,17298,159593
did:plc:x4m6k4whl576rnkibg5jm4tm,103548,55847,159395
did:plc:qd4cgbqpaxz6vh222fl54der,46124,113150,159274
did:plc:uqw3mcybq5bfgrb6v3uwhj5k,101249,57839,159088
did:plc:w3xevyycvef7y4tqsojptrf5,63536,95550,159086
did:plc:j3zrpq7t3uoiw6vtwei2turu,115037,43880,158917
did:plc:cxrua73vvgqw4lel4nkccky7,406,158404,158810
did:plc:2q2hs5o42jhbd23pp6lkiauh,11,158485,158496
did:plc:tsksqpjisdvtusxq6ide5tzj,283,157974,158257
did:plc:4llyqwdqnd6t7ncyvvjzeih7,127665,30581,158246
did:plc:r63yuqrcqpoylvtaeg3wyis7,129027,29131,158158
did:plc:mc3gycbiotmlmoiohp35w6cj,110962,46957,157919
did:plc:uwtfnif5r35kcyupkvw3nxxq,117227,39567,156794
did:plc:fpudu46yp6wcx42diid5q5uf,112569,43708,156277
did:plc:xghjmebnrmxfkdng4l3tvb6x,103764,52493,156257
did:plc:3tbeehffxymc3clu7yiibitg,99681,56124,155805
did:plc:vchmnkezcmaixgo7hlsav2ix,124516,29863,154379
did:plc:lavhgkaq5fxv2e3x7wfjpmls,98424,55271,153695
did:plc:keompcicensa7aig3isdr36f,96050,57095,153145
did:plc:uyh5huzxtthtkg6htsgt56lh,794,152225,153019
did:plc:m3p7bglmpaeuajhgdgzhmeon,114515,38083,152598
did:plc:bwvd55e4hsxpuxa5ikrfgqgo,532,151968,152500
did:plc:7qqkq2zdwq4j5jingukgtuky,13852,138107,151959
did:plc:x4qyokjtdzgl7gmqhsw4ajqj,3133,148685,151818
did:plc:iu4j537hox5huj4bwnwgub4z,543,151132,151675
did:plc:247igq2dcmlallbqbfo3dxld,108558,42223,150781
