pair_id,pack_id,name,description
0,337199,Valeria 💙🌊's Starter Pack,Valeria 💙🌊's Starter Pack
0,337200,Valeria 💙🌊's Starter Pack,Valeria 💙🌊's Starter Pack
1,26875,"Healthcare, media/analysis, fun, other favs","Healthcare, media/analysis, fun, other favs. It's a hodgepodge, like my brain! I'm also interested in conspiracy theories, vaccines, extremism, social psychology, bikes/transit, and having my assumptions challenged."
1,107214,Accountability isn't canc…'s Starter Pack,Accountability isn't canc…'s Starter Pack
2,85651,Canada Fights Back 2  🥊🇨🇦🥊,"Canada Fights Back 2  🥊🇨🇦🥊. The Momentum is building Canada!! 🇨🇦 
Follow more Canadians fighting to #KeepCanadaCanadian 🇨🇦
#VoteOutEveryCon
#VoteOutPoilievre

#WeGotThisCanada 🇨🇦"
2,85653,Canada Stronger Together 🇨🇦,"Canada Stronger Together 🇨🇦. Follow these Canadians who stand against the Conservative Far Right agenda!  #WeVoteForCanada 🇨🇦
And We Won’t Back Down!  Canada is our home, a beacon of hope for the oppressed around the world, and there’s not a “snowball’s chance in hell” we’d let it go without a Fight! 🇨🇦"
2,281217,🇨🇦DUNK's🇨🇦 Oh Canada #2 Starter Pack,"🇨🇦DUNK's🇨🇦 Oh Canada #2 Starter Pack. This is the second in the ""Oh Canada"" Series containing Canadians that I follow/follow me."
3,296523,pachuki's Starter Pack,pachuki's Starter Pack
3,311327,Ari's Starter Pack,Ari's Starter Pack
3,323559,Novuuu's Starter Pack,Novuuu's Starter Pack
3,345741,@‪xenosexology.bsky.socia…'s Starter Pack,@‪xenosexology.bsky.socia…'s Starter Pack
4,34004,Magic artists,Magic artists. It’s the Magic the Gathering artists of course
4,35968,MTG & DnD Artists,MTG & DnD Artists. Here is a list of old and new artists from Magic: The Gathering and Dungeons and Dragons on Bsky.
4,43440,Incredible Artists 🖤,Incredible Artists 🖤. Incredible artists whose work I love! 🖤 (No AI)
4,120583,Artist goated with the sauce !!,"Artist goated with the sauce !!. Artists who I personally look at for inspiration, or just when I want to see some amazing art!"
4,152876,Magic: The Gathering artists,Magic: The Gathering artists. This is a list of artists and art directors creating art for 'Magic: The Gathering'
