max_df,shared_packs,n_obs,sim,matched,delta,ratio
0.2,1,22791,0.073093544989729,0.0307732014104962,0.042320343579232804,2.375233698135745
0.2,2,22498,0.086959073883952,0.0344084649322478,0.05255060895170421,2.5272581632217337
0.2,3,23645,0.0979740549078672,0.0375103054288248,0.0604637494790424,2.6119236777149517
0.2,4,23993,0.1028363361383572,0.0393039507412549,0.06353238539710229,2.616437640463871
0.2,5,24173,0.1052382692658837,0.0408199346131841,0.0644183346526996,2.578109697213813
0.2,6,24180,0.1082900831481001,0.0417875608039375,0.0665025223441626,2.5914430290914776
0.2,7,24221,0.1105559260879185,0.043280295166047,0.0672756309218715,2.5544171005249665
0.2,8,3667,0.1131966812519163,0.0439866164249765,0.06921006482693981,2.5734346137985944
0.3,1,22791,0.0900308023793336,0.0425085162559162,0.0475222861234174,2.117947421107727
0.3,2,22498,0.1046233161176399,0.0470756211069399,0.057547695010700006,2.2224521664827552
0.3,3,23645,0.1171156280039616,0.0511653456588546,0.065950282345107,2.2889638777158097
0.3,4,23993,0.1225834595515883,0.0534545143947941,0.06912894515679419,2.2932293172889926
0.3,5,24173,0.1254479282123994,0.0554469043533802,0.07000102385901918,2.2624875035922853
0.3,6,24180,0.1289360312602695,0.0565900865851488,0.0723459446751207,2.2784208160958492
0.3,7,24221,0.1317879999017486,0.0584945599011243,0.07329344000062431,2.2529958362711873
0.3,8,3667,0.1347088648698994,0.0595778969823406,0.07513096788755878,2.261054379106873
0.4,1,22791,0.1040310806883448,0.0528069208277342,0.051224159860610595,1.9700273952293703
0.4,2,22498,0.119034724285464,0.0579562669483265,0.061078457337137494,2.0538714888520118
0.4,3,23645,0.1324353818031591,0.0627200223452926,0.06971535945786651,2.111532758615143
0.4,4,23993,0.1382318532130297,0.0653556326439879,0.07287622056904179,2.115071763837416
0.4,5,24173,0.1413133103502966,0.0676452500262517,0.0736680603240449,2.0890352285704594
0.4,6,24180,0.1451094290722127,0.068892884841998,0.07621654423021469,2.1063050183631167
0.4,7,24221,0.1483416408899313,0.0710407972041154,0.0773008436858159,2.0881190348091683
0.4,8,3667,0.1514496869041778,0.0724334907298626,0.07901619617431518,2.0908793070459972
0.5,1,22791,0.1140444153201174,0.060825029270883,0.0532193860492344,1.8749586590780414
0.5,2,22498,0.1292385187027723,0.0663331957114793,0.062905322991293,1.948323419617893
0.5,3,23645,0.1430981083420875,0.0714978467461842,0.0716002615959033,2.001432418658462
0.5,4,23993,0.1490311608081461,0.0743495877730081,0.074681573035138,2.0044651930437527
0.5,5,24173,0.1521858504898514,0.0768591494710802,0.07532670101877119,1.9800616001757132
0.5,6,24180,0.1561548672932743,0.0781072001876422,0.0780476671056321,1.9992378028931126
0.5,7,24221,0.1595869073018617,0.0804251699993768,0.07916173730248491,1.984290580959895
0.5,8,3667,0.1628214702195512,0.0820937174005791,0.08072775281897211,1.9833609120787927
0.6,1,22791,0.1215078523889708,0.0673217532929027,0.0541860990960681,1.804882470311132
0.6,2,22498,0.1367078874548833,0.072928568328176,0.0637793191267073,1.874545059484818
0.6,3,23645,0.1507341115463581,0.0783266927712787,0.0724074187750794,1.9244283936067093
0.6,4,23993,0.1566638052901226,0.0812525601032359,0.07541124518688672,1.9281091585430974
0.6,5,24173,0.1597885098123364,0.083833781411145,0.07595472840119138,1.906015774580029
0.6,6,24180,0.1638307894955752,0.0850412007817098,0.07878958871386539,1.9264872554670116
0.6,7,24221,0.1673404002545736,0.0874219307837372,0.07991846947083642,1.91416957683693
0.6,8,3667,0.1706630619557672,0.089260907521239,0.0814021544345282,1.9119575040748844
