shared_packs,n_obs,obs_mean_cosine,matched_zero_mean_cosine,diff_obs_minus_matched
1,22791,0.09781925522071856,0.048003440427420586,0.049815814793297976
2,22498,0.1126139508653997,0.052834015246104746,0.059779935619294955
3,23645,0.12555112163510154,0.05721946841543799,0.06833165321966356
4,23993,0.1311008502977974,0.05964746262487085,0.07145338767292654
5,24173,0.13401570934886367,0.06175714804239488,0.0722585613064688
6,24180,0.13764137656710318,0.06294882980374518,0.074692546763358
7,24221,0.1406419448514424,0.06496748859990831,0.0756744562515341
8,3667,0.1436200754702487,0.06622448190560441,0.07739559356464427
9,2747,0.14433375964464323,0.06799344093017129,0.07634031871447194
10,2193,0.14355009928774515,0.06742729285021308,0.07612280643753207
11,1659,0.14434900954489677,0.06687772793554254,0.07747128160935422
12,1367,0.151129601836766,0.0673295562822631,0.08380004555450289
13,1125,0.15024762914409262,0.07031521314824486,0.07993241599584776
14,996,0.14613311053534436,0.07126674675777092,0.07486636377757344
15,839,0.1468708828709811,0.06919902604828397,0.07767185682269713
16,682,0.1506309545003568,0.07114672093932695,0.07948423356102985
17,604,0.14993794333977184,0.062073310111907906,0.08786463322786393
18,593,0.145719696527678,0.06176866534175014,0.08395103118592785
19,455,0.14420241393821082,0.06633942718603877,0.07786298675217204
20,458,0.1473199700760578,0.0693341958667676,0.07798577420929019
21,403,0.1460632536170672,0.06549829937479638,0.08056495424227082
22,340,0.15185324435341616,0.06366621046554626,0.0881870338878699
23,307,0.15138581556643954,0.06786103185774513,0.08352478370869441
24,267,0.14726369409714563,0.06683592743854917,0.08042776665859645
25,247,0.1535400562699785,0.06501250623338842,0.08852755003659007
26,229,0.16275929602972455,0.06565702890239919,0.09710226712732536
27,244,0.15636033380794723,0.06277617529538292,0.09358415851256431
28,205,0.1599528320245776,0.06202145910767539,0.09793137291690221
29,208,0.15332681349168759,0.06656290674971307,0.08676390674197451
30,173,0.16295096207893253,0.06382255596458364,0.0991284061143489
31,156,0.16138015666476976,0.06780316127718526,0.0935769953875845
32,161,0.15653681846533887,0.05189622509902656,0.10464059336631232
33,163,0.15339198803816118,0.06928521368677945,0.08410677435138172
34,136,0.16403919672980857,0.062247114782302514,0.10179208194750605
35,147,0.16088063332169084,0.08039992619470712,0.08048070712698371
36,136,0.1466117076363925,0.05127518745151119,0.09533652018488131
37,106,0.16485261144057167,0.07254784634721924,0.09230476509335243
38,103,0.16773285607290012,0.06842483556066589,0.09930802051223422
39,108,0.1616493103843854,0.07208457426594547,0.08956473611843993
40,99,0.16567542908631502,0.06595832084866333,0.09971710823765169
41,84,0.16167518117283008,0.0775644215912845,0.08411075958154558
42,86,0.16249248469458055,0.07009200915908986,0.09240047553549069
43,85,0.15397581422297643,0.06843447503010473,0.0855413391928717
44,70,0.1569442255479509,0.06346187264314936,0.09348235290480154
45,65,0.1499516596721757,0.06515807657481167,0.08479358309736403
46,61,0.15472649260989438,0.043972658906703745,0.11075383370319064
47,69,0.15434833152935845,0.039587076343130426,0.11476125518622803
48,64,0.1798047670483323,0.03305616331726154,0.14674860373107074
49,63,0.150757799883455,0.06264687133513133,0.08811092854832367
50,54,0.1634266626868234,0.06244312100812682,0.10098354167869658
51,53,0.16366462402739274,0.08354235153704023,0.0801222724903525
52,65,0.1615044235495881,0.0792137219568562,0.0822907015927319
53,53,0.1658790474211085,0.09289629115350573,0.07298275626760278
54,42,0.17376765736852837,0.024483445170258147,0.1492842121982702
55,47,0.1799635659350883,0.11570057314792158,0.06426299278716673
56,44,0.16736545463914168,0.11570057314792158,0.0516648814912201
57,36,0.17595440157076472,0.07550279613431987,0.10045160543644485
58,36,0.14395202633054985,0.11570057314792158,0.02825145318262827
59,48,0.1584433450967798,0.11570057314792158,0.04274277194885821
60,39,0.17792440826858533,0.11570057314792158,0.06222383512066375
61,38,0.1838273852197858,,
62,41,0.13494645932153754,0.11570057314792158,0.01924588617361596
63,40,0.16884401802129306,0.06346187264314936,0.10538214537814371
64,40,0.16121308559481523,0.11570057314792158,0.04551251244689365
65,36,0.1755396800579729,0.11570057314792158,0.05983910691005133
66,31,0.20092836134575193,0.11570057314792158,0.08522778819783035
67,36,0.1852835782168426,,
68,24,0.14691926985402956,,
69,36,0.15946641931188477,0.11570057314792158,0.04376584616396319
70,38,0.1627341487017346,0.11570057314792158,0.04703357555381303
71,28,0.18227141353447943,0.11570057314792158,0.06657084038655785
72,32,0.15655638430829255,0.11570057314792158,0.04085581116037097
73,28,0.15808493346823563,0.11570057314792158,0.04238436032031405
74,28,0.19330137899524696,,
75,28,0.15093704846269226,,
76,27,0.1636228285395124,,
77,27,0.16393614415373575,0.11570057314792158,0.04823557100581417
78,22,0.18184301063158667,,
79,22,0.1591004698706896,0.11570057314792158,0.04339989672276802
80,29,0.16823606185157647,,
81,22,0.16359792206195414,,
82,22,0.18121953089435733,,
83,17,0.19258101285568002,,
84,18,0.15088608226538763,0.11570057314792158,0.035185509117466054
85,17,0.1499579783777536,,
86,21,0.14973741944885402,,
87,20,0.151396876650783,0.11570057314792158,0.03569630350286142
88,13,0.1559561743403384,,
89,21,0.14585137910166543,0.11570057314792158,0.03015080595374385
90,19,0.17069096817327303,0.11570057314792158,0.054990395025351455
91,11,0.11020309980911142,,
