shared_packs,n_obs,obs_mean_cosine,matched_zero_mean_cosine,diff_obs_minus_matched
1,22791,0.119882025364093,0.06596548178375332,0.053916543580339676
2,22498,0.1350427889548776,0.07146188077423021,0.06358090818064738
3,23645,0.148942763666881,0.07672851169776186,0.07221425196911914
4,23993,0.1547604855726171,0.07956034412955096,0.07520014144306614
5,24173,0.15781850622105983,0.08207417987471796,0.07574432634634187
6,24180,0.16179315961640967,0.0832513999135777,0.07854175970283196
7,24221,0.1651973341736945,0.08557500859953943,0.07962232557415508
8,3667,0.16845877081139235,0.08735960933945983,0.08109916147193252
9,2747,0.16911900997945659,0.08924688947990855,0.07987212049954803
10,2193,0.16848430874242562,0.08852347616592011,0.0799608325765055
11,1659,0.1694973988455024,0.08768845968773034,0.08180893915777207
12,1367,0.17674837551907513,0.08900705702182887,0.08774131849724626
13,1125,0.17520086213583624,0.09211052915958086,0.08309033297625538
14,996,0.17121666718729844,0.09301313467240466,0.07820353251489379
15,839,0.17182280691550425,0.09061664359818561,0.08120616331731864
16,682,0.17487593695164347,0.09303828768945173,0.08183764926219174
17,604,0.17552685926778733,0.08304080859759495,0.09248605067019237
18,593,0.1708207246055968,0.08264454941637839,0.08817617518921841
19,455,0.16859791742353872,0.08616952047213058,0.08242839695140813
20,458,0.1714964380672108,0.09164314700118076,0.07985329106603004
21,403,0.16970360025979622,0.08731367304101288,0.08238992721878334
22,340,0.17598810265048653,0.08567463978539336,0.09031346286509317
23,307,0.1764665925329974,0.08859551876206084,0.08787107377093656
24,267,0.17272198351917337,0.0886901897507722,0.08403179376840117
25,247,0.17922554316159758,0.0857369236581332,0.09348861950346439
26,229,0.18805891750109072,0.08750476162317027,0.10055415587792045
27,244,0.18236448279104847,0.08223114719532171,0.10013333559572676
28,205,0.18538659028436025,0.08365420490006303,0.10173238538429721
29,208,0.17900945158393805,0.08659190663450389,0.09241754494943416
30,173,0.1883886315872938,0.0835028730013176,0.1048857585859762
31,156,0.18578288266185847,0.08685692306446713,0.09892595959739134
32,161,0.1832671359745531,0.06908855734671243,0.11417857862784067
33,163,0.17893873701473959,0.08784555643771538,0.0910931805770242
34,136,0.18923309205414945,0.07973054007399531,0.10950255198015414
35,147,0.18628695502936504,0.09854087170475985,0.08774608332460519
36,136,0.1724425177393563,0.0725316061572424,0.09991091158211389
37,106,0.1906744691208836,0.09165612296313784,0.09901834615774575
38,103,0.19247400156801422,0.08849028060049899,0.10398372096751524
39,108,0.18560627434846227,0.09268614830147821,0.09292012604698406
40,99,0.1926737115115672,0.08513645568530866,0.10753725582625855
41,84,0.18935950906439594,0.09670140080207867,0.09265810826231727
42,86,0.18794668866793937,0.08880721158430803,0.09913947708363134
43,85,0.17633112446530502,0.08582778115730014,0.09050334330800489
44,70,0.18442475461157645,0.07688948987627643,0.10753526473530002
45,65,0.17635969835058357,0.08355455125704621,0.09280514709353736
46,61,0.1806246599292446,0.060250106783028126,0.12037455314621646
47,69,0.17732742241433097,0.05474026298770657,0.1225871594266244
48,64,0.20623340254893027,0.046758497946590954,0.15947490460233932
49,63,0.17726187245362843,0.08017106833527125,0.09709080411835717
50,54,0.18849149595165124,0.08099146295001997,0.10750003300163127
51,53,0.18726928266283027,0.10301675217629518,0.0842525304865351
52,65,0.18899730399339765,0.09784650916321369,0.09115079483018396
53,53,0.19219102101889257,0.11140545553157216,0.08078556548732041
54,42,0.20006877622295896,0.04361072368977982,0.15645805253317913
55,47,0.203119189661151,0.13400369947883625,0.06911549018231475
56,44,0.19381871297267628,0.13400369947883625,0.059815013493840025
57,36,0.20067420018097554,0.0952700153506599,0.10540418483031563
58,36,0.17073137317428203,0.13400369947883625,0.03672767369544577
59,48,0.1836618656897853,0.13400369947883625,0.04965816621094904
60,39,0.20477637483777525,0.13400369947883625,0.070772675358939
61,38,0.2061047614050022,,
62,41,0.15998443139033203,0.13400369947883625,0.025980731911495775
63,40,0.19418032198609814,0.07688948987627643,0.1172908321098217
64,40,0.18857072531890648,0.13400369947883625,0.05456702584007023
65,36,0.20057644970000588,0.13400369947883625,0.06657275022116962
66,31,0.22335338029097207,0.13400369947883625,0.08934968081213582
67,36,0.2105793611999102,,
68,24,0.17195212178618646,,
69,36,0.18487037143137908,0.13400369947883625,0.050866671952542825
70,38,0.18787886679955138,0.13400369947883625,0.05387516732071512
