shared_packs,n_obs,obs_mean_cosine,matched_zero_mean_cosine,diff_obs_minus_matched
1,22791,0.09003080237933361,0.04250851625591621,0.047522286123417405
2,22498,0.10462331611763999,0.04707562110693991,0.057547695010700076
3,23645,0.11711562800396165,0.051165345658854666,0.06595028234510698
4,23993,0.12258345955158839,0.053454514394794116,0.06912894515679427
5,24173,0.12544792821239947,0.05544690435338028,0.07000102385901918
6,24180,0.12893603126026953,0.05659008658514888,0.07234594467512065
7,24221,0.13178799990174866,0.05849455990112432,0.07329344000062435
8,3667,0.13470886486989941,0.05957789698234061,0.0751309678875588
9,2747,0.13536649833029799,0.06126338498012893,0.07410311335016906
10,2193,0.13458075488020058,0.06063258661447442,0.07394816826572616
11,1659,0.13537935804087145,0.06021935408067866,0.07516000396019279
12,1367,0.14187146447361382,0.0602124629788854,0.08165900149472842
13,1125,0.14134647041237902,0.06321542130822928,0.07813104910414974
14,996,0.13725309627153232,0.06419668799046126,0.07305640828107106
15,839,0.13805223889924417,0.0621714031465308,0.07588083575271337
16,682,0.14202188690734469,0.06415857619303515,0.07786331071430953
17,604,0.14080562925083637,0.055602830548445635,0.08520279870239073
18,593,0.13672036459904283,0.054827099135297076,0.08189326546374576
19,455,0.13565186277509578,0.05990852150737472,0.07574334126772106
20,458,0.13861839274437976,0.06220649329603734,0.07641189944834242
21,403,0.13758165342971604,0.05902187515000052,0.07855977827971553
22,340,0.1431788003254947,0.0566985813374215,0.0864802189880732
23,307,0.14274809665968305,0.06114065845302521,0.08160743820665783
24,267,0.13836995673144503,0.0597985922469822,0.07857136448446284
25,247,0.1445340119702708,0.058321417640032326,0.08621259433023848
26,229,0.15373446203687932,0.05821981342774981,0.0955146486091295
27,244,0.14695717651501494,0.05639282930658079,0.09056434720843415
28,205,0.15071345612687903,0.05500587235959601,0.09570758376728303
29,208,0.14425429289494565,0.06017141340191694,0.08408287949302871
30,173,0.15392027823054147,0.05748128413259289,0.09643899409794858
31,156,0.1524497422719252,0.062124502349502814,0.09032523992242239
32,161,0.1469024951733466,0.04673579352328314,0.10016670165006347
33,163,0.14439653792362409,0.06318643431201303,0.08121010361161106
34,136,0.15550749601750646,0.05639567647980509,0.09911181953770137
35,147,0.15203020951042837,0.07430658539708157,0.0777236241133468
36,136,0.13786387354678625,0.04547438652855747,0.09238948701822879
37,106,0.15581289986519928,0.06603391942129026,0.08977898044390901
38,103,0.15886059355055193,0.06179926152883441,0.09706133202171752
39,108,0.15336842950829307,0.06532759162752426,0.08804083788076882
40,99,0.15606914716352432,0.05987800671307473,0.0961911404504496
41,84,0.1517649378968708,0.07162777460571652,0.08013716329115426
42,86,0.15363859818924513,0.06441666243731371,0.08922193575193142
43,85,0.14628204723928495,0.0627559537978873,0.08352609344139765
44,70,0.14761946892737307,0.05777382787960805,0.08984564104776502
45,65,0.1406345368078157,0.05954214236440989,0.08109239444340582
46,61,0.14519707285419198,0.03915631470474183,0.10604075814945015
47,69,0.146295028521757,0.03487789310750506,0.11141713541425194
48,64,0.17023773579660895,0.028521920607982653,0.1417158151886263
49,63,0.14135402120170493,0.057188386154381286,0.08416563504732363
50,54,0.15462245056073082,0.057042025723074596,0.09758042483765622
51,53,0.15615650211930943,0.07739666434043879,0.07875983777887063
52,65,0.1521847764640272,0.07319223461880134,0.07899254184522586
53,53,0.15734835998159644,0.08635559289103276,0.07099276709056368
54,42,0.16451623656756723,0.020538801529875618,0.14397743503769161
55,47,0.17160143845756573,0.10829452334475181,0.06330691511281392
56,44,0.15755386416378026,0.10829452334475181,0.04925934081902844
57,36,0.16712253595358734,0.06967219958936055,0.09745033636422679
58,36,0.13396627911533773,0.10829452334475181,0.02567175577058592
59,48,0.1496459442612057,0.10829452334475181,0.041351420916453885
60,39,0.16817526888283438,0.10829452334475181,0.059880745538082564
61,38,0.17596401020671731,,
62,41,0.12640320146880502,0.10829452334475181,0.0181086781240532
63,40,0.16019916840880416,0.05777382787960805,0.10242534052919611
64,40,0.15203104461933217,0.10829452334475181,0.04373652127458036
65,36,0.1669964524516413,0.10829452334475181,0.05870192910688948
66,31,0.19303331828356607,0.10829452334475181,0.08473879493881425
67,36,0.17646059537365558,,
68,24,0.1384976736313768,,
69,36,0.1507535398277379,0.10829452334475181,0.042459016482986084
70,38,0.15348800942119148,0.10829452334475181,0.045193486076439665
71,28,0.1738406349763355,0.10829452334475181,0.06554611163158369
72,32,0.1484584894232072,0.10829452334475181,0.040163966078455376
73,28,0.1502511958997496,0.10829452334475181,0.0419566725549978
74,28,0.1845096314827173,,
75,28,0.14124961336652617,,
76,27,0.1554760955402639,,
77,27,0.15239962601853546,0.10829452334475181,0.04410510267378365
78,22,0.17242550168805224,,
79,22,0.14945184551766147,0.10829452334475181,0.041157322172909655
80,29,0.15983654773619074,,
81,22,0.15514745237942015,,
82,22,0.1735856262119237,,
83,17,0.18294550654044445,,
84,18,0.14152283706799512,0.10829452334475181,0.03322831372324331
85,17,0.13996120080697846,,
86,21,0.14110333067971145,,
87,20,0.14278471978505572,0.10829452334475181,0.034490196440303905
88,13,0.14891462151427712,,
89,21,0.13902127066814418,0.10829452334475181,0.030726747323392367
90,19,0.1626981586149483,0.10829452334475181,0.05440363527019648
91,11,0.10184348285908856,,
92,10,0.134089523507312,,
93,10,0.16732832925616195,,
94,16,0.14766509836253222,,
95,12,0.10197689191022419,,
96,11,0.19172825398435994,0.10829452334475181,0.08343373063960813
97,14,0.16776570458521614,,
98,13,0.17434247101230343,,
99,16,0.13520831941053355,,
100,5,0.1876220544564285,,
101,13,0.1293824093431411,,
102,9,0.1877425975346711,,
103,11,0.1935265660033555,,
104,15,0.17079418766089335,0.10829452334475181,0.06249966431614154
105,17,0.13337628898249587,,
106,11,0.15756550649610976,,
107,11,0.11491132540567106,,
108,11,0.1596171894574164,,
109,7,0.1295540179394611,,
110,11,0.14872541650199914,,
111,14,0.15440417510331295,,
112,10,0.19176680061013135,,
113,9,0.1770164428582735,,
114,8,0.18598536621796757,,
115,15,0.14795505344219376,,
116,6,0.23117299814495482,,
117,8,0.17444157209343764,,
118,7,0.1789622359879129,,
119,12,0.17630835711106604,,
120,6,0.0980194520149354,,
121,12,0.17456033262408122,,
122,14,0.18533425116864105,,
123,6,0.16182234623675779,,
124,9,0.13169597031190602,,
125,10,0.12236779529392965,,
126,9,0.19525470017012678,,
127,5,0.11201980673269134,,
128,4,0.1101313352719773,,
129,11,0.17411565801555182,0.10829452334475181,0.0658211346708
130,8,0.15565413884404306,,
131,3,0.12607541007310932,,
132,8,0.13534126679751207,,
133,9,0.11605201201806706,,
134,6,0.18374047526634188,,
135,7,0.17416685303756424,,
136,9,0.19343462784913787,,
137,5,0.10016321677536999,,
138,11,0.16848898036509444,,
139,6,0.18351782164460043,,
140,7,0.1055939103287743,,
141,2,0.16236830325063045,,
142,7,0.1262264859095193,,
143,10,0.13740081971071522,,
144,9,0.17104467885156194,,
145,7,0.1779971677231742,,
146,3,0.13760205296872582,,
147,6,0.11793741865594305,,
148,4,0.2399200163158953,,
149,8,0.13357806623679874,,
150,2,0.112447413709267,,
151,3,0.25607473690425836,,
152,3,0.13657908550184658,,
153,8,0.18029785172690463,,
154,3,0.2369600164606478,,
155,4,0.13258423312598358,,
156,5,0.15889784265266357,,
157,10,0.15873345663878008,,
158,3,0.18283567895359162,,
159,5,0.21559947652882422,,
160,4,0.1720576792354945,,
161,9,0.16071946025473482,,
162,1,0.062280973365349886,,
163,4,0.22309555768821845,,
164,3,0.19501084277119432,,
165,3,0.13302668552603786,,
166,5,0.2580476522559053,,
167,4,0.18052580409845526,,
168,8,0.17173656110448532,,
169,3,0.20631673718387936,,
170,6,0.17767357911540108,,
171,4,0.2303536023121561,,
172,3,0.1429965814149974,,
173,5,0.1251490624556174,,
174,5,0.15993691616743494,,
175,9,0.16541658358825626,,
176,5,0.21758865300266028,,
177,5,0.20515454092719237,,
178,1,0.17244845567070632,,
179,3,0.18266428648306077,,
180,4,0.14737039498391752,,
181,4,0.18467042229019162,,
182,2,0.22870823555937175,,
183,4,0.1614828193841244,,
184,4,0.14222840811289247,,
185,8,0.21152570264988485,,
186,2,0.1410398492186608,,
187,4,0.12017074878684594,,
188,3,0.21662321273250132,,
189,3,0.12083018180335932,,
190,3,0.19263730588868797,,
191,4,0.17809288962770223,,
192,2,0.1599711038870391,,
193,5,0.16939122962579595,,
194,2,0.14113883057279908,,
195,2,0.1858784355812596,,
196,5,0.16261418783763287,,
197,2,0.2092262114981987,,
198,4,0.1324440634707852,,
199,3,0.10179747534076337,,
200,3,0.12649238482230804,,
201,1,0.048231372353659485,,
202,4,0.12489333910541706,,
203,5,0.15799117814110925,,
204,7,0.1946785580996125,,
205,2,0.2056743244112237,,
206,1,0.22144118592234482,,
207,3,0.13987865647507078,,
209,4,0.21480158705512833,,
210,4,0.14938024014447404,,
211,6,0.1667678793857257,,
212,3,0.18588785652146766,,
213,3,0.193297400247475,,
214,1,0.11075426753377521,,
215,5,0.10206994325069692,,
216,4,0.18614461641890767,,
217,3,0.15091734871038667,,
218,9,0.12244849640737139,,
219,2,0.069142430061122,,
220,2,0.06434553199621494,,
221,1,0.2598653526924616,,
222,1,0.06568433684794094,,
225,3,0.1450072489603962,,
226,6,0.10490281423337372,,
227,2,0.12316645810385773,,
228,2,0.17295635562679512,,
229,3,0.18125511338164502,,
230,1,0.02197013599992899,,
231,2,0.13906250853746752,,
232,4,0.13679135118789412,,
233,1,0.24094651133942951,,
234,5,0.17588039533628613,,
236,2,0.15283195392198773,,
237,6,0.1903718835369177,,
238,4,0.08908020007227255,,
239,4,0.2300192583069948,,
240,2,0.12866662491797143,,
241,3,0.17729746330416285,,
242,2,0.19248337302381685,,
243,1,0.0,,
244,3,0.15102088401226862,,
245,2,0.1612092388042683,,
246,2,0.2155188064440018,,
247,2,0.12478643644910761,,
248,2,0.12917914335501457,,
249,2,0.1356632465969525,,
250,2,0.13548683810139506,,
251,1,0.12430846172413564,,
252,2,0.24489190605846128,,
253,5,0.1393093016378412,,
254,1,0.05299972813814919,,
255,1,0.3256532289460626,,
256,2,0.14916617276746647,,
257,1,0.12298061965677545,,
258,2,0.18400819428666582,,
259,5,0.19975154473837448,,
260,4,0.14284817891436888,,
261,1,0.06495448864010052,,
262,2,0.0982862494625829,,
263,3,0.18573664467617143,,
264,2,0.21388834124275255,,
265,1,0.2192688494208687,,
266,2,0.32808060551744384,,
267,4,0.10880276310427195,,
268,1,0.04225726107756565,,
269,1,0.24311632211528617,,
270,1,0.1400303591043759,,
271,1,0.3803715179461925,,
273,3,0.20125555377929258,,
275,1,0.33091615266859425,,
276,3,0.17438343758150307,,
277,3,0.1283279655681098,,
278,5,0.12881544570324482,,
280,1,0.28929541250970503,,
281,2,0.1493759682241838,,
283,3,0.13258363539600784,,
285,4,0.22404488476396106,,
286,1,0.23135763346987917,,
287,3,0.11090170323406895,,
288,5,0.17092686071071983,,
289,2,0.13451557727187108,,
290,1,0.23609368636327585,,
291,2,0.23821842830395804,,
292,1,0.2453751083671836,,
293,2,0.2033375144283791,,
294,1,0.12790003499808236,,
297,1,0.1971696092300997,,
299,3,0.15767912888395522,,
300,1,0.17561313835237036,,
301,2,0.09298756475624198,,
302,3,0.14975125414891075,,
303,2,0.14332475422969368,,
304,1,0.16526882883320987,,
307,2,0.3049425836196694,,
308,1,0.02349904481306552,,
309,2,0.20823813552850112,,
310,3,0.0970798105817422,,
311,1,0.19102464403050182,,
312,1,0.18259052802477443,,
313,1,0.15761275679385142,,
314,3,0.2617798135891,,
315,2,0.0412944713833362,,
316,1,0.09581349073914983,,
317,2,0.08867059576664918,,
318,2,0.07043183691255651,,
320,2,0.2232879975408097,,
321,4,0.21218661649023446,,
322,1,0.16559536052029886,,
323,2,0.15324178479959774,,
324,1,0.2528017666309664,,
325,2,0.2332927688267063,,
326,2,0.07040165448311102,,
327,2,0.11855033509311468,,
328,2,0.09036995064348909,,
330,1,0.20556797333682647,,
331,3,0.32483799272621017,,
