side,rank,term,df_count,df_frac,is_hashtag,in_sklearn_stopwords,in_platform_lexicon
discarded_high_df,1,just,179868,0.8146343230855632,False,False,False
discarded_high_df,2,like,178317,0.8076097393068715,False,False,False
discarded_high_df,3,time,171068,0.7747785285965325,False,False,False
discarded_high_df,4,new,170374,0.7716353557129658,False,False,False
discarded_high_df,5,good,161967,0.7335594847732749,False,False,False
discarded_high_df,6,know,158447,0.7176171669776626,False,False,False
discarded_high_df,7,love,157567,0.7136315875287595,False,False,False
discarded_high_df,8,day,156208,0.7074765847207377,False,False,False
discarded_high_df,9,people,153384,0.6946864979438033,False,False,False
discarded_high_df,10,make,152399,0.6902253664015653,False,False,False
discarded_high_df,11,work,150391,0.6811309987499774,False,False,False
discarded_high_df,12,think,150373,0.6810494755339771,False,False,False
discarded_high_df,13,need,149776,0.6783456222033007,False,False,False
discarded_high_df,14,way,147218,0.6667602673961485,False,False,False
discarded_high_df,15,really,146899,0.6653154948459211,False,False,False
discarded_high_df,16,want,146877,0.6652158553596985,False,False,False
discarded_high_df,17,today,146854,0.6651116868059204,False,False,False
discarded_high_df,18,year,144831,0.6559493831409989,False,False,False
discarded_high_df,19,great,144825,0.6559222087356655,False,False,False
discarded_high_df,20,right,143825,0.6513931411800938,False,False,False
discarded_high_df,21,did,143202,0.6485715320929727,False,False,False
discarded_high_df,22,got,142967,0.6475072012174133,False,False,False
discarded_high_df,23,going,142852,0.6469863584485226,False,False,False
discarded_high_df,24,post,140174,0.6348575155347017,False,False,True
discarded_high_df,25,thank,138133,0.62561368865378,False,False,False
discarded_high_df,26,years,136941,0.6202150401275386,False,False,False
discarded_high_df,27,look,136655,0.6189197268066451,False,False,False
discarded_high_df,28,happy,135510,0.6137339444555155,False,False,False
discarded_high_df,29,best,135216,0.6124023985941774,False,False,False
discarded_high_df,30,better,134027,0.6070173372706027,False,False,False
discarded_high_df,31,say,133368,0.6040326817514811,False,False,False
discarded_high_df,32,hope,132198,0.5987336727114622,False,False,False
discarded_high_df,33,come,132013,0.5978957952136814,False,False,False
discarded_high_df,34,thanks,131516,0.5956448486385623,False,False,False
discarded_high_df,35,long,130731,0.5920895306074385,False,False,False
discarded_high_df,36,things,129099,0.5846980923567456,False,False,False
discarded_high_df,37,little,129044,0.5844489936411892,False,False,False
discarded_high_df,38,let,128842,0.5835341219949637,False,False,False
discarded_high_df,39,feel,128592,0.5824018551060708,False,False,False
discarded_high_df,40,world,128160,0.5804452979220638,False,False,False
discarded_high_df,41,looking,127383,0.5769262124313846,False,False,False
discarded_high_df,42,life,127249,0.576319317378938,False,False,False
discarded_high_df,43,use,127190,0.5760521023931593,False,False,False
discarded_high_df,44,doing,127097,0.5756308991104911,False,False,False
discarded_high_df,45,sure,126820,0.5743763473975978,False,False,False
discarded_high_df,46,com,126716,0.5739053243718183,False,False,False
discarded_high_df,47,it's,126333,0.5721706914980343,False,False,False
discarded_high_df,48,big,126115,0.5711833547709197,False,False,False
discarded_high_df,49,thing,125760,0.5695755357886918,False,False,False
discarded_high_df,50,getting,125114,0.5666497581477925,False,False,False
survived,1,ve,88223,0.39956792695519844,False,False,False
survived,2,hours,88003,0.3985715320929727,False,False,False
survived,3,hey,87994,0.39853077048497254,False,False,False
survived,4,heard,87844,0.3978514103516368,False,False,False
survived,5,guy,87683,0.39712223047518974,False,False,False
survived,6,feels,87654,0.3969908875160782,False,False,False
survived,7,months,87628,0.39687313175963335,False,False,False
survived,8,team,87527,0.3964156959365206,False,False,False
survived,9,blue,87510,0.3963387017880759,False,False,False
survived,10,exactly,87489,0.39624359136940884,False,False,False
survived,11,hate,87193,0.39490298737295965,False,False,False
survived,12,moment,86908,0.39361220311962175,False,False,False
survived,13,starting,86832,0.3932679939853983,False,False,False
survived,14,ones,86572,0.39209043642094965,False,False,False
survived,15,perfect,86118,0.3900342397507201,False,False,False
survived,16,needed,85850,0.3888204496458269,False,False,False
survived,17,black,85666,0.38798710121560176,False,False,False
survived,18,says,85614,0.387751589702712,False,False,False
survived,19,turn,85425,0.38689559593470896,False,False,False
survived,20,hit,85410,0.3868276599213754,False,False,False
survived,21,happen,85360,0.3866012065435968,False,False,False
survived,22,state,85322,0.38642910197648506,False,False,False
survived,23,leave,85322,0.38642910197648506,False,False,False
survived,24,line,85233,0.3860260149640392,False,False,False
survived,25,words,85133,0.38557310820848206,False,False,False
survived,26,wants,84975,0.3848575155347017,False,False,False
survived,27,red,84942,0.38470805630536786,False,False,False
survived,28,account,84929,0.3846491784271454,False,False,True
survived,29,twitter,84783,0.38398793456403196,False,False,True
survived,30,party,84620,0.38324969655247376,False,False,False
survived,31,half,84582,0.38307759198536206,False,False,False
survived,32,giving,84492,0.3826699759053606,False,False,False
survived,33,learn,84467,0.3825567492164713,False,False,False
survived,34,weeks,84295,0.38177774959691296,False,False,False
survived,35,experience,84272,0.3816735810431348,False,False,False
survived,36,yesterday,84159,0.38116179640935527,False,False,False
survived,37,reading,84043,0.3806364245729089,False,False,False
survived,38,sounds,83985,0.38037373865468577,False,False,False
survived,39,worth,83973,0.3803193898440189,False,False,False
survived,40,question,83753,0.37932299498179317,False,False,False
survived,41,break,83564,0.3784670012137901,False,False,False
survived,42,based,83442,0.37791445497201037,False,False,False
survived,43,super,83263,0.377103751879563,False,False,False
survived,44,favorite,83154,0.3766100835160057,False,False,False
survived,45,told,83088,0.37631116505733797,False,False,False
survived,46,school,82811,0.3750566133444446,False,False,False
survived,47,community,82778,0.3749071541151108,False,False,False
survived,48,gonna,82662,0.3743817822786645,False,False,False
survived,49,order,82641,0.3742866718599975,False,False,False
survived,50,short,82615,0.3741689161035526,False,False,False
