n_eff_stratum,hops,n,mean_cosine,ci_low,ci_high,ci_width
n_eff=0,1,12,0.077503242291473,0.027932140165341325,0.1482374576994206,0.12030531753407928
n_eff=0,2,2805,0.05097298693460021,0.048420444308984005,0.05399485432736803,0.005574410018384025
n_eff=0,3,14577,0.027683227208225327,0.026786886712641567,0.028501234497011675,0.0017143477843701085
n_eff=0,far/unreachable,4969,0.014477581524257231,0.01365645707294769,0.015329518577532921,0.0016730615045852312
"n_eff[1,3]",1,35565,0.1411476945932443,0.13933627245487554,0.14277989144747283,0.0034436189925972915
"n_eff[1,3]",2,51727,0.11786394514533441,0.11618215488503818,0.11955516540197428,0.0033730105169361008
"n_eff[1,3]",3,8417,0.08043527057630852,0.0770652589839395,0.08384818065595265,0.006782921672013151
"n_eff[1,3]",far/unreachable,3236,0.07157656629450779,0.06658457429188794,0.07636245269562937,0.009777878403741433
n_eff>3,1,43436,0.16675843182974498,0.16382653885347948,0.1692334747862066,0.005406935932727119
n_eff>3,2,39645,0.14715572730460066,0.1441127344614233,0.14997892291897366,0.005866188457550353
n_eff>3,3,4984,0.1082452340339386,0.09863448025259361,0.1168647982362255,0.018230317983631894
n_eff>3,far/unreachable,3141,0.08955943560135332,0.08321962821398407,0.10589913752833147,0.022679509314347396
